Best: -0.44544453620910646 using {'layers': 4, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 32}
-0.9630436301231384 (0.2912850972311664) with: {'layers': 1, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 64}
-0.9587548494338989 (0.2931864162955127) with: {'layers': 1, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 128}
-0.447010338306427 (0.003146869529430584) with: {'layers': 1, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 8}
-0.44891123175621034 (0.0036866814771151996) with: {'layers': 1, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 16}
-0.4484149575233459 (0.001202497881513914) with: {'layers': 1, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 32}
-0.4481978893280029 (0.002170855063879363) with: {'layers': 1, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 64}
-0.44841278791427613 (0.0018743993105795286) with: {'layers': 1, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 128}
-0.9898845076560974 (0.29126367900926536) with: {'layers': 1, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 8}
-0.9642158269882202 (0.2924570384670163) with: {'layers': 1, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 16}
-0.9603996634483337 (0.290545709074342) with: {'layers': 1, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 32}
-0.9800447821617126 (0.2840408130810895) with: {'layers': 1, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 64}
-0.9670183539390564 (0.2831227560301558) with: {'layers': 1, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 128}
-0.6615078449249268 (0.15034900305037993) with: {'layers': 2, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 8}
-0.6379315733909607 (0.09730425156857878) with: {'layers': 2, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 16}
-0.5558419466018677 (0.040162222886269014) with: {'layers': 2, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 32}
-0.540097439289093 (0.03191205700804182) with: {'layers': 2, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 64}
-0.5097205400466919 (0.005461922472739841) with: {'layers': 2, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 128}
-1.2111290335655212 (0.2987848414823895) with: {'layers': 2, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 8}
-1.1473659992218017 (0.33941332287902787) with: {'layers': 2, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 16}
-1.0889251112937928 (0.29790208902840637) with: {'layers': 2, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 32}
-1.0821481347084045 (0.2903109002791591) with: {'layers': 2, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 64}
-1.0455828785896302 (0.301148383635807) with: {'layers': 2, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 128}
-0.5920062303543091 (0.028133693744208634) with: {'layers': 2, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 8}
-0.5966644525527954 (0.03576402283330033) with: {'layers': 2, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 16}
-0.5299509286880493 (0.02716857149226454) with: {'layers': 2, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 32}
-0.5140528678894043 (0.01622143276284294) with: {'layers': 2, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 64}
-0.48721490502357484 (0.006753715162969801) with: {'layers': 2, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 128}
-1.0999572277069092 (0.2676141135353967) with: {'layers': 2, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 8}
-1.1164179563522338 (0.2716683066477812) with: {'layers': 2, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 16}
-1.076355481147766 (0.2945975484409895) with: {'layers': 2, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 32}
-1.0410846829414369 (0.27378782917461264) with: {'layers': 2, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 64}
-1.0114351034164428 (0.29302380748554874) with: {'layers': 2, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 128}
-0.5234457433223725 (0.017327087533617065) with: {'layers': 2, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 8}
-0.5272441625595092 (0.02857864711552394) with: {'layers': 2, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 16}
-0.5020460486412048 (0.014147962835049627) with: {'layers': 2, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 32}
-0.48699710369110105 (0.007219964694889462) with: {'layers': 2, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 64}
-0.47666260600090027 (0.00417799036048153) with: {'layers': 2, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 128}
-1.0348958253860474 (0.30071735816051653) with: {'layers': 2, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 8}
-1.0493834614753723 (0.29413722340610354) with: {'layers': 2, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 16}
-1.025346565246582 (0.2886176259340174) with: {'layers': 2, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 32}
-1.0080506205558777 (0.29066933787078925) with: {'layers': 2, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 64}
-0.997743284702301 (0.29502839438781375) with: {'layers': 2, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 128}
-0.49154398441314695 (0.016122459864921803) with: {'layers': 2, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 8}
-0.49656095504760744 (0.008292855251842996) with: {'layers': 2, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 16}
-0.4801394879817963 (0.007372469182507981) with: {'layers': 2, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 32}
-0.469311398267746 (0.0036892036037937583) with: {'layers': 2, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 64}
-0.46292954683303833 (0.003453596342493026) with: {'layers': 2, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 128}
-1.0060562491416931 (0.29146987008727154) with: {'layers': 2, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 8}
-1.008779728412628 (0.29105157624615846) with: {'layers': 2, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 16}
-0.994569206237793 (0.29448588244326507) with: {'layers': 2, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 32}
-0.9858234882354736 (0.2931143973309708) with: {'layers': 2, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 64}
-0.9777456283569336 (0.2922191592077076) with: {'layers': 2, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 128}
-0.46320147514343263 (0.007513447891339399) with: {'layers': 2, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 8}
-0.4657061040401459 (0.0028613964337091077) with: {'layers': 2, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 16}
-0.4609770357608795 (0.0014249218468531362) with: {'layers': 2, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 32}
-0.46000144481658933 (0.003388997109055634) with: {'layers': 2, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 64}
-0.4556061029434204 (0.0021327689215039957) with: {'layers': 2, 'learn_rate': 0.001, 'loss': 'mae', 'neurons': 128}
-0.9930302381515503 (0.2853531651075947) with: {'layers': 2, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 8}
-0.9828488945960998 (0.28715178476338127) with: {'layers': 2, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 16}
-0.975261127948761 (0.29145141402597935) with: {'layers': 2, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 32}
-0.9667391657829285 (0.2921220940076317) with: {'layers': 2, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 64}
-0.9639976382255554 (0.29319040537183855) with: {'layers': 2, 'learn_rate': 0.001, 'loss': 'mse', 'neurons': 128}
-0.45123239159584044 (0.0032984153322757844) with: {'layers': 2, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 8}
-0.45238752365112306 (0.0023228878121071476) with: {'layers': 2, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 16}
-0.452306067943573 (0.002409130081421743) with: {'layers': 2, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 32}
-0.4527226984500885 (0.0036003312701919452) with: {'layers': 2, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 64}
-0.4515007257461548 (0.0024461125601888123) with: {'layers': 2, 'learn_rate': 0.003, 'loss': 'mae', 'neurons': 128}
-0.9748321056365967 (0.29263589854718075) with: {'layers': 2, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 8}
-0.9712995171546936 (0.2915551367332003) with: {'layers': 2, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 16}
-0.963851022720337 (0.2913262320138619) with: {'layers': 2, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 32}
-0.9619715571403503 (0.28966018474958466) with: {'layers': 2, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 64}
-0.9558950304985047 (0.29188937510057555) with: {'layers': 2, 'learn_rate': 0.003, 'loss': 'mse', 'neurons': 128}
-0.44582864046096804 (0.0028496937520973505) with: {'layers': 2, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 8}
-0.44562746286392213 (0.00251126751161777) with: {'layers': 2, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 16}
-0.44649945497512816 (0.0026444212276362537) with: {'layers': 2, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 32}
-0.44638619422912595 (0.0027114409308894192) with: {'layers': 2, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 64}
-0.4468942105770111 (0.003296818528837602) with: {'layers': 2, 'learn_rate': 0.01, 'loss': 'mae', 'neurons': 128}
-0.9770406484603882 (0.29080888885534556) with: {'layers': 2, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 8}
-0.9638504028320313 (0.2925787210139688) with: {'layers': 2, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 16}
-0.956020188331604 (0.2929275522504314) with: {'layers': 2, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 32}
-0.9556779742240906 (0.2925772482621842) with: {'layers': 2, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 64}
-0.9518134951591491 (0.29254240340870197) with: {'layers': 2, 'learn_rate': 0.01, 'loss': 'mse', 'neurons': 128}
-0.44591304659843445 (0.0028263276085922348) with: {'layers': 2, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 8}
-0.44614851474761963 (0.002650877384785429) with: {'layers': 2, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 16}
-0.4459325969219208 (0.002351345829238741) with: {'layers': 2, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 32}
-0.44592949748039246 (0.0024233584652078514) with: {'layers': 2, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 64}
-0.44638721346855165 (0.003152419647606655) with: {'layers': 2, 'learn_rate': 0.03, 'loss': 'mae', 'neurons': 128}
-0.967048990726471 (0.2937621098319345) with: {'layers': 2, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 8}
-0.955708634853363 (0.29480581292258323) with: {'layers': 2, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 16}
-0.9507736325263977 (0.2895601372647849) with: {'layers': 2, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 32}
-0.9498921632766724 (0.2928183961448435) with: {'layers': 2, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 64}
-0.948626720905304 (0.29268358094716584) with: {'layers': 2, 'learn_rate': 0.03, 'loss': 'mse', 'neurons': 128}
-0.4477819502353668 (0.0015098703939156546) with: {'layers': 2, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 8}
-0.44593478441238404 (0.0026079485633138592) with: {'layers': 2, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 16}
-0.44751495122909546 (0.0028089231041271714) with: {'layers': 2, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 32}
-0.44648969173431396 (0.003009990910234827) with: {'layers': 2, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 64}
-0.44688950181007386 (0.002392177189572247) with: {'layers': 2, 'learn_rate': 0.1, 'loss': 'mae', 'neurons': 128}
-0.9675256252288819 (0.29418637970217926) with: {'layers': 2, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 8}
-0.9578309178352356 (0.29553983515823284) with: {'layers': 2, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 16}
-0.9568615674972534 (0.282605314278347) with: {'layers': 2, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 32}
-0.9516708493232727 (0.2953339101166929) with: {'layers': 2, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 64}
-0.9536214947700501 (0.28881162422465156) with: {'layers': 2, 'learn_rate': 0.1, 'loss': 'mse', 'neurons': 128}
-0.6334166646003723 (0.1980819548695448) with: {'layers': 3, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 8}
-0.5131170988082886 (0.014865565491991937) with: {'layers': 3, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 16}
-0.5427183091640473 (0.04477972868033372) with: {'layers': 3, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 32}
-0.5310905158519745 (0.061808443757383244) with: {'layers': 3, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 64}
-0.48253539204597473 (0.0056478783286021145) with: {'layers': 3, 'learn_rate': 1e-05, 'loss': 'mae', 'neurons': 128}
-1.0939452290534972 (0.31116863725410343) with: {'layers': 3, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 8}
-1.1107595324516297 (0.3617089494496346) with: {'layers': 3, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 16}
-1.0460834980010987 (0.28999908288029774) with: {'layers': 3, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 32}
-1.0307918071746827 (0.2953419062937406) with: {'layers': 3, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 64}
-1.0148908376693726 (0.28686665364058594) with: {'layers': 3, 'learn_rate': 1e-05, 'loss': 'mse', 'neurons': 128}
-0.5473717331886292 (0.04678551039636841) with: {'layers': 3, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 8}
-0.5199359297752381 (0.024556079211906737) with: {'layers': 3, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 16}
-0.4962255239486694 (0.015135385660669059) with: {'layers': 3, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 32}
-0.4805996596813202 (0.007071716079160485) with: {'layers': 3, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 64}
-0.4748794615268707 (0.00811643073952324) with: {'layers': 3, 'learn_rate': 3e-05, 'loss': 'mae', 'neurons': 128}
-1.0436696887016297 (0.29548282743683135) with: {'layers': 3, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 8}
-1.0540505647659302 (0.2866359564675777) with: {'layers': 3, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 16}
-1.0233816027641296 (0.28999726527952063) with: {'layers': 3, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 32}
-1.011391568183899 (0.2914027162021323) with: {'layers': 3, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 64}
-1.0076856374740601 (0.29637732380886256) with: {'layers': 3, 'learn_rate': 3e-05, 'loss': 'mse', 'neurons': 128}
-0.47648096084594727 (0.01225480691835227) with: {'layers': 3, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 8}
-0.47465463876724245 (0.010614770788063612) with: {'layers': 3, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 16}
-0.48109899163246156 (0.005657228147909294) with: {'layers': 3, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 32}
-0.4680368542671204 (0.005217768435292762) with: {'layers': 3, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 64}
-0.4655208349227905 (0.0054109675913711405) with: {'layers': 3, 'learn_rate': 0.0001, 'loss': 'mae', 'neurons': 128}
-1.0193993210792542 (0.2822182528880551) with: {'layers': 3, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 8}
-1.0184520125389098 (0.2946908266609476) with: {'layers': 3, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 16}
-1.0080166697502135 (0.2955434057650532) with: {'layers': 3, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 32}
-0.9995696425437928 (0.28805759077834925) with: {'layers': 3, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 64}
-0.9944360256195068 (0.29230159591326044) with: {'layers': 3, 'learn_rate': 0.0001, 'loss': 'mse', 'neurons': 128}
-0.48019315004348756 (0.007345383058430725) with: {'layers': 3, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 8}
-0.4717253088951111 (0.007951575102460213) with: {'layers': 3, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 16}
-0.466264533996582 (0.00491480065376785) with: {'layers': 3, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 32}
-0.4597052276134491 (0.0035170800603236915) with: {'layers': 3, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 64}
-0.45788363218307493 (0.003184924906469498) with: {'layers': 3, 'learn_rate': 0.0003, 'loss': 'mae', 'neurons': 128}
-0.9977680087089539 (0.2931382347246381) with: {'layers': 3, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 8}
-0.9951666355133056 (0.2902843557967979) with: {'layers': 3, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 16}
-0.9878941416740418 (0.2905669395520501) with: {'layers': 3, 'learn_rate': 0.0003, 'loss': 'mse', 'neurons': 32}
